ID,approve,date,movie_name,score,short_review
乌鸦火堂,287,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,特效场面没得说，美工道具可称精美，但故事有些满，部分地方过犹不及。骨子里面还是徐克新武侠内核，没有侠客，却有那个身不由己的江湖。个人最喜欢的就是一些背景隐喻： 方术横行的大唐，中原方术与域外幻术的差异，改朝换代的暗涌，当权者自欺欺人般的信任骗术，亢龙锏的寓意，武则天兴佛抑道的原因等等。PS，还记得上部24副概念画吗？这部是夺命盛宴和迦楼罗的结合体；PPS，徐克是真爱西游记啊，里面有唐僧的大徒弟我会乱说？
呆萌小七,213,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,10,哼，四小生没一个喜欢的，妖精打架
亵渎电影,141,"
                    2018-07-28
                ",狄仁杰之四大天王 短评,30,看徐克电影看什么？看想象力！特别是这个《狄仁杰》系列，卖的就是视觉效果。作为一部商业片来看，徐克的想象力在华语电影圈几乎是无人能及，这次借着幻术，更是放飞了自我，触手系怪物的形象让人叹为观止，一贯的恶趣味直接把商业大片拍出了B级片的感觉，巨人出场的高潮时刻简直就是送给密集恐惧症的福音。这部的故事看似比较浅，都是动作戏在主导，但对于了解徐克电影的人来说，政治隐喻的主题藏的很深，看着权力暗斗中，掌权者召集异人用幻术迷惑众生，是一件越想越有意思的事情。
鱼儿,195,"
                    2018-07-25
                ",狄仁杰之四大天王 短评,20,徐老怪天马行空最好的一次观影体验 对 我说的是视觉 请忽略剧情和演技 谢谢
大奇特(Grinch),182,"
                    2018-06-30
                ",狄仁杰之四大天王 短评,40,徐克的想象力还是无边，这才是《奇门遁甲》的放大化，还与《通天帝国》做了勾连。结尾还是太仰仗怪力乱神的特效，如果能收一收会更好，不过老怪在类型片杂糅方面依然得心应手。
kylegun,230,"
                    2018-07-25
                ",狄仁杰之四大天王 短评,40,《莎乐美》水牢幻术国师欲摄政夺权，镜脸洗脑组合刺客，烟花鬼婆四处蹦，白毛金刚对决千眼罗汉巨人……各种怪力乱神想象力还在，徐克依然是国产3D的良心，但故事真心一集差过一集，结尾应付的无力吐槽。而且不知是否被之前合作过的周星驰带偏了，多了很多冷笑话情感戏，严重放大了几位年轻演员的表演缺陷……
哪吒男,94,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,整个系列最有趣也最有力的依然是武则天，以及天后与狄仁杰的关系。天后爱权力，天后要登基，天后要正大光明，最可怖的执政者莫过于此，唯物地满口谎言，爱民到杀人如麻。天后最大的危机和帮凶就是狄仁杰，他以为天后有底线，他不信会有更好的执政者，他是所有聪明又糊涂的中国人。
七七,153,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,30,这天后越来越妖了，狄仁杰系列只服华仔那部
痞影人科莱昂,124,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,40,要不是以冯绍峰为首的演员太掉价这片简直可以往五星给，瞪眼、皱眉外加迷之微笑，怀疑冯绍峰到底会不会演戏，可以考虑和黄晓明组队了…之前闭眼吹工业水准的那批国片简直该给这部片跪下，徐克这旺盛的创作力啊，比前两部好太多，亢龙锏、封魔族、大理寺攻防战、佛系猩猩四个物像，就是往《指环王》上靠的嘛，阮经天的角色就是甘道夫的功能，戏少但关键，省去冒险加了破案，差不多是近几年东方魔幻最成功的一次，隔着屏幕都能听见徐克心里的傲娇台词，“老子也是能拍特效大片的”，嗯。以及，每出场一次换一次发型的刘嘉玲，这回竟然也空前顺眼。三处主场景大理寺、皇宫、三藏寺都安排了几场重头戏，场景明暗色调的变化无处不显示徐克的情怀，好几场戏都直接穿越回《青蛇》、《蜀山传》和《笑傲江湖》。借着这场视觉奇观，陪老怪再闯一次他的江湖，挺好。
大瘦瘦,101,"
                    2018-07-27
                ",狄仁杰之四大天王 短评,20,奇门遁甲加西游伏妖（连角色都按照西游设置了，圆测=唐僧，尉迟=八戒，狄公=大圣，沙头陀=沙僧），剧作可谓集偷懒之大成：作为推理性质的公案作品居然告诉你大boss是个自始至终未出现过的角色，以及结尾高潮的危机要靠神兵天降来解决掉。台词上唯一的亮点当属“天下直男还有你破解不了的”？
